business_name,record_type,record_number,record_status,applicant_address,office_address,mailing_address,initial_filing_date,business_purpose_NAICS_codes,agent_names,registrant_names,registrant_type,registrant_street_address,registrant_mailing_address,name_matches,type_match,status_match,resignation_dateh,agent_street_address,agent_mailing_address
"Center Bakery And General Store, LLC",Domestic Limited Liability Company,002044,Inactive - Administratively TerminatedDesignated Office,,,"(Optional) 10 S MAIN ST, WATERBURY, VT, 05676, USA",,,,,,,,,,,,,
Kilgore's General Store,Assumed Name,256269,Inactive - Expired,," MONTGOMERY CTR, VT, USA","MAIN ST, MONTGOMERY CTR, VT, 05471, USA",1998-06-12,,,"KAREN HOUGHTALING, STEVEN HOUGHTALING",Individual,"None, MAIN ST, MONTGOMERY CTR, VT, 05471, USA","None, None",,,,,,
Cavendish General Store,Assumed Name,228103,Inactive - Expired,," MAIN STREET, CAVENDISH, VT, 5142, USA","MAIN STREET, CAVENDISH, VT, 05142, USA",1986-07-03,,,"JOSEPH M.  ALLEN, SANDRA J.  ALLEN",Individual,"PO BOX 423, CAVENDISH, VT, 05142, USA, SAME, USA","None, None",,,,,,
Watroba's General Store,Assumed Name,181892,Inactive - Expired,," BRANDON, VT, 5733, USA","2265 FOREST DALE RD, BRANDON, VT, 05733, USA",2002-04-08,,,"ZONIA G  WATROBA, ROBERT S  WATROBA",Individual,"None, 2265 FOREST DALE RD, BRANDON, VT, 05733, USA","None, None",,,,,,
Twin Brook Motel & General Store,Assumed Name,211746,Inactive - Expired,," WOODFORD, VT, 5201, USA","HCR 65, RT. 9, WOODFORD, VT, 05201, USA",1994-12-06,,,"CHARLES COLLETT, BARBARA COLLETT",Individual,"HCR 65, RT. 9, WOODFORD, VT, 05201, USA, SAME, USA","None, None",,,,,,
Santors General Store,Assumed Name,254356,Inactive - Expired,," FAIRFAX, VT, USA","27-202 BUTLER RD, FAIRFAX, VT, 05454, USA",2007-02-02,,,LISA SANTOR,Individual,"27-202 BUTLER RD, FAIRFAX, VT, 05454, USA",None,,,,,,
Putney General Store,Assumed Name,348715,Inactive - Cessated,, None,"P.O. Box 260, Putney, VT, 05346, USA",2018-10-10,,,"PUTNEY GSTORE, LLC",Business,"13 Dusty Ridge Road, Putney, VT, 05346, USA","P.O. Box 260, Putney, VT, 05346, USA",,,,,,
North Clarendon General Store,Assumed Name,241482,Inactive - Expired,," N CLARENDON, VT, USA","RT 7B, N CLARENDON, VT, 05759, USA",1997-03-28,,,JEFFREY T.S.  ALLEN,Individual,"RT 7B, N CLARENDON, VT, 05759, USA",None,,,,,,
Brownsville General Store,Assumed Name,189618,Inactive - Cessated,," RTE. 44, BROWNSVILLE, VT, 5037, USA","RTE. 44, BROWNSVILLE, VT, 05037, USA",1993-06-28,,,"YATES & WENTWORTH, INC.",Business,"871 ROUTE 44, BROWNSVILLE, VT, 05037, USA","871 ROUTE 44, BROWNSVILLE, VT, 05037, USA",,,,,,
Barnard General Store,Assumed Name,204346,Inactive - Expired,," BARNARD, VT, USA","ROUTE 12, BARNARD, VT, 05031, USA",1994-06-02,,,"BENPLAT, INC.",Business,"PO BOX 243, BARNARD, VT, 05091, USA","PO BOX 243, BARNARD, VT, 05091, USA",,,,,,
Ken's General Store,Assumed Name,213615,Inactive - Expired,," ROUTE 110, BOX 65, N TUNBRIDGE, VT, 5077, USA","ROUTE 110, BOX 65, N TUNBRIDGE, VT, 05077, USA",1985-02-07,,,KENNETH FITZGERALD,Individual,"STAR ROUTE 110, TUNBRIDGE, VT, 05077, USA",None,,,,,,
Pearson General Store,Assumed Name,178503,Inactive - Expired,," US ROUTE 5, BARNET, VT, 5821, USA","US ROUTE 5, BARNET, VT, 05821, USA",1981-05-27,,,"JEAN PEARSON, ERIC D.  PEARSON",Individual,"SAME, USA, US ROUTE 5, BARNET, VT, 05821, USA","None, None",,,,,,
Little Otter General Store,Assumed Name,202668,Inactive - Expired,," FERRISBURGH, VT, 5456, USA","2707 ROUTE 7, FERRISBURGH, VT, 05456, USA",2003-05-28,,,"TAB INVESTMENTS, INC.",Business,"843 ROUTE 22A, PANTON, VT, 05491, USA","843 ROUTE 22A, PANTON, VT, 05491, USA",,,,,,
Chaffee's General Store,Assumed Name,228891,Inactive - Expired,," MAIN ST., ALBANY, VT, 5820, USA","MAIN ST., ALBANY, VT, 05820, USA",1986-08-05,,,"CLAIR CHAFFEE, DEBRA CHAFFEE",Individual,"MAIN ST., ALBANY, VT, 05820, USA, SAME, USA","None, None",,,,,,
Red Barn Bomoseen Harbor General Store,Assumed Name,276931,Inactive - Expired,," PO BOX 616, CASTLETON, VT, 5735, USA","PO BOX 616, CASTLETON, VT, 05735, USA",2000-03-06,,,"KEN-MAR FAMILY ENTERPRISES, LLC",Business,"33 CREEK RD, CASTLETON, VT, 05735, USA","33 CREEK RD, CASTLETON, VT, 05735, USA",,,,,,
Dan & Whit's General Store,Assumed Name,445659,Active - Registered,, None,"P.O. Box 157, Norwich, VT, 05055, USA",2024-03-29,,,"FRASERS' GENERAL STORE, INC.",Business,"319 MAIN ST, NORWICH, VT, 05055, USA","P.O. Box 157, NORWICH, VT, 05055, USA",,,,,,
Mountain Pauls General Store,Assumed Name,244460,Inactive - Expired,," PUTNEY, VT, 5346, USA","PO BOX 334, PUTNEY, VT, 05346, USA",2006-04-18,,,BENJAMIN J  MOUSEL,Individual,"PO BOX 334, PUTNEY, VT, 05346, USA",None,,,,,,
