year,active_stores
1960,1
1961,2
1962,4
1963,5
1964,6
1965,6
1966,6
1967,7
1968,7
1969,10
1970,13
1971,13
1972,19
1973,22
1974,24
1975,25
1976,29
1977,30
1978,42
1979,69
1980,90
1981,113
1982,130
1983,147
1984,174
1985,201
1986,230
1987,250
1988,263
1989,290
1990,293
1991,289
1992,286
1993,288
1994,298
1995,299
1996,310
1997,304
1998,293
1999,290
2000,285
2001,288
2002,286
2003,292
2004,291
2005,279
2006,276
2007,272
2008,265
2009,267
2010,254
2011,230
2012,214
2013,199
2014,193
2015,183
2016,180
2017,174
2018,169
2019,173
2020,171
2021,161
2022,156
2023,150
2024,144
2025,132
2026,125
