business_names,town_name_normalized,"lat, lng",lat,lng
"['1836 COUNTRY STORE, LLC', '1836 COUNTRY STORE LLC', '1836 COUNTRY STORE', '1836 COUNTRY STORE', '1836 COUNTRY STORE', '1836 COUNTRY STORE']","WILMINGTON, VT","(42.8683889, -72.8714468)",42.8683889,-72.8714468
"['A&L COUNTRY STORE, LLC']","RUTLAND, VT","(43.6106237, -72.9726065)",43.6106237,-72.9726065
['ABBOTT AND STAPLES GENERAL STORE'],"MANCHESTER, VT","(43.1635393, -73.0720817)",43.1635393,-73.0720817
"['ADDISON FOUR CORNERS STORE', 'ADDISON FOUR CORNERS STORE', 'ADDISON FOUR CORNERS STORE', 'ADDISON FOUR CORNERS STORE']","ADDISON, VT","(44.0890229, -73.3023235)",44.0890229,-73.3023235
"[""AL'S OLD TIME COUNTRY STORE"", ""AL'S OLD TIME COUNTRY STORE""]","HARTFORD, VT","(43.6637411, -72.3696992)",43.6637411,-72.3696992
"['ALBANY GENERAL STORE', 'ALBANY GENERAL STORE', 'ALBANY GENERAL STORE', 'ALBANY COUNTRY STORE', 'ALBANY COUNTRY STORE', 'ALBANY GENERAL STORE']","ALBANY, VT","(44.7309405, -72.37980759999999)",44.7309405,-72.37980759999999
['ALBANY GENERAL STORE'],"NEWPORT, VT","(44.9364356, -72.2051022)",44.9364356,-72.2051022
"[""ALBERGHINI'S GENERAL STORE""]","DERBY LINE, VT","(45.002228, -72.10116599999999)",45.002228,-72.10116599999999
"['ALBURGH COUNTRY STORE, LLC', 'ALBURGH COUNTRY STORE']","ALBURG, VT","(44.9748974, -73.3010678)",44.9748974,-73.3010678
"['ALBURGH COUNTRY STORE', 'ALBURGH COUNTRY STORE']","ALBURGH, VT","(44.9748974, -73.3010678)",44.9748974,-73.3010678
"['AMATEUR RADIO GENERAL STORE, THE']","MORRISVILLE, VT","(44.5617189, -72.5984486)",44.5617189,-72.5984486
"[""ANNIE'S COUNTRY STORE, INC."", ""ANNIE'S COUNTRY STORE""]","WESTMINSTER, VT","(43.06783069999999, -72.4587404)",43.06783069999999,-72.4587404
['ARLINGTON STORE THE'],"SHAFTSBURY, VT","(43.0036753, -73.19550939999999)",43.0036753,-73.19550939999999
['ASCUTNEY COUNTRY STORE'],"ASCUTNEY, VT","(43.4012001, -72.40627719999999)",43.4012001,-72.40627719999999
"[""BAILEY'S COUNTRY STORE"", ""BAILEY'S COUNTRY STORE""]","BURKE, VT","(44.620777, -71.9510719)",44.620777,-71.9510719
"['BAKERSFIELD GENERAL STORE LLC', 'BAKERSFIELD GENERAL STORE LLC', 'BAKERSFIELD GENERAL STORE, THE', 'BAKERSFIELD GENERAL STORE']","BAKERSFIELD, VT","(44.7819927, -72.8029085)",44.7819927,-72.8029085
